Farmer Name,Date,Load No,FY Code,Date Code,Final Code
ABF,2025-04-08,1,2526,804,ABF2526/0804/1
ABF,2025-04-14,2,2526,1404,ABF2526/1404/2
ABF,2025-04-15,3,2526,1504,ABF2526/1504/3
ABF,2025-04-16,4,2526,1604,ABF2526/1604/4
ABF,2025-04-17,5,2526,1704,ABF2526/1704/5
ABF,2025-04-18,6,2526,1804,ABF2526/1804/6
ABF,2025-04-19,7,2526,1904,ABF2526/1904/7
ABF,2025-04-20,8,2526,2004,ABF2526/2004/8
ABF,2025-04-21,9,2526,2104,ABF2526/2104/9
ABF,2025-04-22,10,2526,2204,ABF2526/2204/10
ABF,2025-04-23,11,2526,2304,ABF2526/2304/11
ABF,2025-04-24,12,2526,2404,ABF2526/2404/12
ABF,2025-04-25,13,2526,2504,ABF2526/2504/13
ABF,2025-04-26,14,2526,2604,ABF2526/2604/14
ABF,2025-04-28,15,2526,2804,ABF2526/2804/15
ABF,2025-04-29,16,2526,2904,ABF2526/2904/16
ABF,2025-04-30,17,2526,3004,ABF2526/3004/17
ABF,2025-05-17,18,2526,1705,ABF2526/1705/18
ABF,2025-05-19,19,2526,1905,ABF2526/1905/19
ABF,2025-05-23,20,2526,2305,ABF2526/2305/20
ABF,2025-05-31,21,2526,3105,ABF2526/3105/21
ABF,2025-06-09,22,2526,906,ABF2526/0906/22
ABF,2025-06-10,23,2526,1006,ABF2526/1006/23
ABF,2025-06-13,24,2526,1306,ABF2526/1306/24
ABF,2025-06-17,25,2526,1706,ABF2526/1706/25
ABF,2025-06-20,26,2526,2006,ABF2526/2006/26
ABF,2025-06-28,27,2526,2806,ABF2526/2806/27
ABF,2025-06-30,28,2526,3006,ABF2526/3006/28
