Farmer Name,Date,Load No,FY Code,Date Code,Final Code
PU PALAYAM,2025-04-22,1,2526,2204,PUP2526/2204/1
PU PALAYAM,2025-04-26,2,2526,2604,PUP2526/2604/2
PU PALAYAM,2025-04-29,3,2526,2904,PUP2526/2904/3
PU PALAYAM,2025-05-07,4,2526,705,PUP2526/0705/4
PU PALAYAM,2025-05-09,5,2526,905,PUP2526/0905/5
PU PALAYAM,2025-05-12,6,2526,1205,PUP2526/1205/6
PU PALAYAM,2025-05-13,7,2526,1305,PUP2526/1305/7
PU PALAYAM,2025-05-18,8,2526,1805,PUP2526/1805/8
PU PALAYAM,2025-05-23,9,2526,2305,PUP2526/2305/9
PU PALAYAM,2025-05-24,10,2526,2405,PUP2526/2405/10
PU PALAYAM,2025-06-04,11,2526,406,PUP2526/0406/11
PU PALAYAM,2025-06-10,12,2526,1006,PUP2526/1006/12
PU PALAYAM,2025-06-12,13,2526,1206,PUP2526/1206/13
PU PALAYAM,2025-06-13,14,2526,1306,PUP2526/1306/14
PU PALAYAM,2025-06-17,15,2526,1706,PUP2526/1706/15
PU PALAYAM,2025-06-21,16,2526,2106,PUP2526/2106/16
PU PALAYAM,2025-06-29,17,2526,2906,PUP2526/2906/17
